,account,age,following,numVotes
0,vraj,18 days 09:40:25.129902000,2,3
1,brozamsterdam,9 days 23:02:55.129902000,2,1
2,bighorn,6 days 10:35:46.129902000,1,1
3,letsbuildfam,8 days 09:35:52.129902000,1,1
4,juliansapkovskiy,28 days 09:35:43.129902000,1,1
5,garstriduf,94 days 10:56:40.129902000,23,2
6,tenaciousv,38 days 15:16:43.129902000,4,3
7,jimportante,20 days 20:22:37.129902000,1,3
8,omosko,8 days 10:51:28.129902000,1,1
9,arwmining,15 days 19:32:40.129902000,3,1
10,willlondon,55 days 21:31:25.129902000,1,3
11,vixie,13 days 17:32:52.129902000,2,1
12,cryptocreamy,13 days 16:02:25.129902000,2,1
13,boomshaka,28 days 06:36:55.129902000,5,1
14,jedi-trader,24 days 08:22:40.129902000,0,1
15,deenixon718,35 days 10:44:31.129902000,5,1
16,xibalbha,22 days 08:50:28.129902000,3,6
17,cihantic,5 days 19:08:31.129902000,0,3
18,jigneshvasoya,11 days 08:51:58.129902000,2,1
19,dreidrage,27 days 17:31:49.129902000,3,2
20,mitsie,10 days 01:25:55.129902000,1,6
21,cryptoarman,66 days 15:10:19.129902000,1,1
22,secretsquirrel10,129 days 03:11:40.129902000,1,6
23,silvi,65 days 00:44:34.129902000,2,5
24,sacco,9 days 06:56:01.129902000,1,1
25,whan,11 days 18:55:25.129902000,1,1
26,blake521,14 days 23:57:37.129902000,1,7
27,linus.kho,42 days 00:36:10.129902000,3,1
28,slomak88,173 days 20:33:52.129902000,8,6
29,mmachaal,19 days 18:14:07.129902000,1,2
30,hebojon,6 days 08:52:49.129902000,1,1
31,orcungocgun,6 days 06:14:25.129902000,1,2
32,letstalkcrypto,184 days 23:08:28.129902000,362,1
33,skip32,13 days 16:01:46.129902000,1,3
34,xardio,19 days 22:43:34.129902000,2,1
35,survey0r,42 days 18:20:10.129902000,9,2
36,andrulli,104 days 04:17:01.129902000,9,3
37,crypyosquanch,6 days 21:28:34.129902000,1,2
38,hougaz,8 days 08:55:16.129902000,1,1
39,wjg-crypt0,10 days 02:22:10.129902000,1,5
40,zombiemango,7 days 13:01:16.129902000,1,1
41,paulyd,13 days 04:47:10.129902000,1,2
42,ewmism,19 days 19:47:22.129902000,1,1
43,b371,23 days 13:56:34.129902000,7,1
44,mfive,28 days 22:43:16.129902000,3,8
45,mashag,14 days 21:48:07.129902000,1,3
46,viceversus,10 days 11:50:19.129902000,1,2
47,alvnl,7 days 06:04:40.129902000,3,3
48,steemittttt,24 days 19:08:01.129902000,3,5
49,justiceparish,6 days 14:23:55.129902000,1,1
50,alano,7 days 04:18:04.129902000,3,2
51,grance,45 days 04:36:16.129902000,11,1
52,catamejia8,34 days 14:33:37.129902000,8,2
53,drewsadventures,35 days 06:05:07.129902000,4,1
54,adamisv,95 days 16:18:19.129902000,12,2
55,dtruitt,160 days 20:01:52.129902000,3,1
56,ace344,34 days 09:57:55.129902000,11,1
57,mag5156,163 days 22:45:46.129902000,4,2
58,imkeshav,7 days 05:22:46.129902000,1,2
59,ebey,139 days 13:09:01.129902000,1,4
60,jay7nt,7 days 08:47:04.129902000,1,1
61,msc,45 days 01:49:31.129902000,1,19
62,bongajcryp,8 days 11:10:19.129902000,1,1
63,mhansen6969,18 days 12:08:37.129902000,1,1
64,synco,7 days 10:36:55.129902000,1,1
65,raymondr,6 days 20:21:40.129902000,1,1
66,thegoodfight,7 days 12:23:04.129902000,1,1
67,stang10189,16 days 14:42:37.129902000,1,11
68,nym165,34 days 23:24:46.129902000,3,2
69,themechanic,5 days 21:39:49.129902000,0,1
70,k-a-r-i-m,59 days 03:15:04.129902000,14,4
71,jaren831,20 days 21:43:16.129902000,1,1
72,henriqu3,16 days 14:22:19.129902000,2,1
73,zachlipson,20 days 01:06:34.129902000,3,16
74,jdlnlab,5 days 19:26:22.129902000,0,2
75,crypto.abed,42 days 20:47:25.129902000,7,4
76,papts1978,6 days 19:36:25.129902000,1,2
77,scoobsyo,5 days 21:41:01.129902000,0,1
78,hoob,7 days 15:02:58.129902000,1,1
79,kimb,62 days 00:49:46.129902000,2,2
80,abbrev,11 days 23:40:43.129902000,2,1
81,hefefe,131 days 10:21:58.129902000,2,3
82,tanuki,82 days 14:59:52.129902000,6,2
83,snorhax,6 days 07:27:58.129902000,1,10
84,cassiey,8 days 08:15:13.129902000,1,9
85,peter941,210 days 21:13:13.129902000,6,2
86,davidjunsikcho,58 days 09:56:19.129902000,1,22
87,steemitmarkus,39 days 04:05:55.129902000,4,1
88,fishking604,10 days 13:04:28.129902000,1,1
89,saidbet,10 days 03:48:10.129902000,1,1
90,sector9onmymind,11 days 06:18:49.129902000,1,1
91,itsriaz,6 days 09:25:40.129902000,1,6
92,charlycash,24 days 19:15:37.129902000,6,1
93,terminatot,7 days 04:12:55.129902000,1,2
94,whoseverpainter,19 days 21:36:04.129902000,1,2
95,andyjh,68 days 17:16:13.129902000,12,6
96,mr-sky,178 days 22:09:55.129902000,3,4
97,aaronmcl,13 days 11:37:40.129902000,6,1
98,julianjin,90 days 23:16:28.129902000,11,2
99,sfynx,205 days 20:43:49.129902000,56,2
100,aquazjuny,21 days 14:11:43.129902000,5,4
101,zamson,30 days 02:45:43.129902000,2,2
102,qswaley,59 days 22:36:55.129902000,4,20
103,angloindianguy,11 days 23:08:16.129902000,3,1
104,cryptocas,20 days 09:17:13.129902000,1,1
105,brazila78,157 days 14:13:46.129902000,103,5
106,ikndut3,43 days 13:16:16.129902000,2,5
107,schmittytims,12 days 21:01:40.129902000,1,16
108,ofensom,29 days 05:25:55.129902000,1,2
109,smn,17 days 18:38:49.129902000,1,19
110,smm1980,229 days 21:16:28.129902000,3,1
111,ruicrypto,13 days 05:20:07.129902000,1,3
112,stevejohns,6 days 07:07:58.129902000,1,1
113,rayyan557,64 days 19:48:10.129902000,3,20
114,randyrancher,27 days 15:56:19.129902000,1,4
115,winnieoriana,6 days 22:45:13.129902000,5,3
116,tejas10590,44 days 06:15:37.129902000,0,1
117,wernerinoz,6 days 07:18:07.129902000,1,2
118,ceunderwood,62 days 20:55:40.129902000,0,1
119,mehrshad9,5 days 21:09:19.129902000,0,1
120,thundercock,30 days 18:47:31.129902000,3,6
121,axk01,16 days 19:50:31.129902000,1,1
122,richporter,7 days 14:45:16.129902000,2,2
123,cpleasant,17 days 21:45:58.129902000,1,1
124,jacecali,17 days 07:48:13.129902000,3,1
125,brian-13,19 days 20:08:22.129902000,2,1
126,viknash,33 days 12:44:37.129902000,1,2
127,enlyten,75 days 14:54:46.129902000,5,7
128,thaivid,9 days 16:06:16.129902000,1,3
129,jeongmin,7 days 14:09:28.129902000,1,11
130,kyuushiro,7 days 15:00:31.129902000,1,2
131,kryptominik,17 days 22:12:07.129902000,1,15
132,gpwein,6 days 19:40:04.129902000,0,2
133,minhtommy1710,37 days 20:56:28.129902000,4,1
134,jorkki,8 days 02:18:13.129902000,1,1
135,isaacwinton,28 days 04:00:25.129902000,2,12
136,asb1688,25 days 23:26:34.129902000,5,1
